Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe
5245,Diamond,Secret,Bad,Red,Blond,Female,Yes,4,"2008, May",New Earth,DC
5246,James Sharp,Secret,Bad,White,No,Male,Yes,13,"1990, October",Earth-616,Marvel
5247,Maelstrom,Secret,Bad,Purple,Purple,Male,No,28,"1981, January",Earth-616,Marvel
5248,Marcus Driver,Public,Good,Blue,Blond,Male,Yes,31,"2003, February",New Earth,DC
5249,Mario Falcone,Public,Neutral,Brown,Brown,Male,No,19,"1999, December",New Earth,DC
5250,Yuri Medvedev,Secret,Bad,Blue,Bald,Male,Yes,4,"1997, October",Earth-616,Marvel
5251,"Proteus, God of Changes",Secret,Neutral,Blue,Black,Male,Yes,3,"1964, October",New Earth,DC
5252,Herakles,Public,Neutral,Brown,Brown,Male,Yes,86,"1941, December",New Earth,DC
5253,Roxanne Leech,Public,Good,Blue,Blond,Female,Yes,60,"1993, July",New Earth,DC
5254,Linette Martinez,Public,Bad,Blue,Brown,Female,Yes,5,"1995, December",Earth-616,Marvel
5255,Tattoo II,Public,Bad,White,Blond,Female,Yes,1,"1997, March",New Earth,DC
5256,Nicholas Benson,Public,Good,Blue,Brown,Male,Yes,1,"1988, September",Earth-616,Marvel
5257,Robert Bruce Banner,Secret,Good,Red,Black,Male,Yes,3,"2007, February",Earth-616,Marvel
5258,Zala Dane,Secret,Bad,Blue,Black,Female,No,22,"1970, December",Earth-616,Marvel
5259,Cathy Jones,Public,Neutral,Black,Red,Female,Yes,2,"1960, December",Earth-616,Marvel
5260,Doctor Suki,Public,Bad,Brown,Black,Male,Yes,1,"1943, September",Earth-616,Marvel
5261,Cary Albertson,Public,Bad,Red,Brown,Male,Yes,1,"1991, January",Earth-616,Marvel
5262,Joe Cooke,Public,Bad,Black,Black,Male,Yes,1,"1962, March",Earth-616,Marvel
5263,Tapping Tommy,Public,Bad,Blue,Blond,Male,Yes,2,"1975, December",Earth-616,Marvel
5264,Saurespritze,Secret,Bad,Red,Brown,Male,No,3,"1991, September",Earth-616,Marvel
5265,Sacino,Public,Neutral,Red,Red,Female,Yes,1,"2013, May",Earth-616,Marvel
5266,Daniel Maddox,Public,Neutral,Green,Brown,Male,Yes,2,"2007, April",Earth-616,Marvel
5267,Phantom of Massacre Gulch,Secret,Bad,Purple,Grey,Male,No,1,"1951, March",Earth-616,Marvel
5268,Peri Purr,Public,Good,Blue,White,Unknown,Yes,2,"1942, December",Earth-616,Marvel
5269,Golden Web,Secret,Bad,Yellow,Brown,Male,Yes,2,"1983, July",New Earth,DC
5270,Jason McCall,Secret,Bad,Black,Bald,Male,No,8,"1988, July",Earth-616,Marvel
5271,Lynx,Secret,Bad,Blue,Black,Female,Yes,1,"1970, May",Earth-616,Marvel
5272,Fritz Kron,Public,Bad,Brown,Black,Male,Yes,2,"2012, February",Earth-616,Marvel
5273,Richard Plante,Public,Good,Blue,Black,Male,Yes,14,1993,New Earth,DC
5274,Mister Muscles,Secret,Bad,Blue,Black,Male,Yes,1,"1982, August",Earth-616,Marvel
5275,Royal Blue,Secret,Good,Blue,Brown,Male,No,4,"2010, December",Earth-616,Marvel
5276,Bres,Secret,Bad,Red,Blond,Male,Yes,3,"1982, November",Earth-616,Marvel
5277,Aaron Nicholson,Secret,Bad,Brown,Black,Male,Yes,39,"1984, June",Earth-616,Marvel
5278,Grak,Non-dual,Good,Black,Black,Male,No,1,"1975, April",Earth-616,Marvel
5279,Blare,Public,Bad,White,Black,Male,Yes,1,"1997, September",Earth-616,Marvel
5280,Scott Lang,Secret,Bad,Brown,Bald,Male,Yes,1,"1998, May",Earth-616,Marvel
5281,Vincent Astor,Non-dual,Good,Green,Black,Male,Yes,1,"2009, October",Earth-616,Marvel
5282,Doctor Lorrof,Public,Bad,Yellow,Black,Male,No,1,"1941, January",Earth-616,Marvel
5283,Meiko Yin,Non-dual,Bad,Brown,Black,Female,Yes,8,"1997, March",Earth-616,Marvel
5284,Krystar,Public,Bad,Blue,Black,Male,Yes,1,"1971, November",Earth-616,Marvel
5285,Reggie Bitters,Secret,Neutral,Brown,Brown,Male,Yes,1,"1993, July",Earth-616,Marvel
5286,Shakati,Public,Good,White,Black,Male,Yes,3,"2000, July",Earth-616,Marvel
5287,Louis Godder,Public,Good,Red,Black,Male,Yes,17,"1987, September",New Earth,DC
5288,Mordonna,Public,Bad,White,Black,Female,Yes,2,"1985, December",Earth-616,Marvel
5289,Marjorie Marko,Public,Bad,Brown,Brown,Female,No,1,"1996, September",Earth-616,Marvel
5290,Ero,Secret,Bad,Hazel,Blond,Female,Yes,17,"2006, March",Earth-616,Marvel
5291,Tabitha Smith,Secret,Good,Blue,Blond,Female,Yes,316,"1985, November",Earth-616,Marvel
5292,Kryb,Public,Bad,Black,Black,Female,No,25,"2007, August",New Earth,DC
5293,Kondor,Public,Bad,Brown,Blond,Male,Yes,4,"1992, January",New Earth,DC
5294,William Baker,Secret,Neutral,Brown,Brown,Male,Yes,338,"1963, September",Earth-616,Marvel
5295,Nyola,Secret,Bad,Brown,Brown,Female,Yes,5,"1940, September",Earth-Two,DC
5296,Hoodwink,Secret,Bad,Blue,Blond,Female,Yes,8,"1984, June",Earth-616,Marvel
5297,Gavin Thorpe,Public,Bad,Silver,Brown,Male,Yes,5,"1994, December",Earth-616,Marvel
5298,Valerie Campbell,Non-dual,Good,Brown,Brown,Female,Yes,8,"1977, January",Earth-616,Marvel
5299,Jamm,Secret,Neutral,Green,Blond,Male,Yes,3,1993,New Earth,DC
5300,Claudine Renko,Secret,Bad,Red,Black,Female,Yes,12,"2008, September",Earth-616,Marvel
5301,Thaddeus P. Longhorn,Public,Bad,Blue,Black,Male,Yes,1,"1978, March",Earth-616,Marvel
5302,Frank Scalise,Secret,Good,Brown,Red,Male,Yes,5,"1979, April",Earth-616,Marvel
5303,Karl Oheimer,Public,Good,Black,Blond,Male,No,1,"1979, November",Earth-616,Marvel
5304,Timothy Hunter,Public,Good,Black,Black,Male,Yes,89,"1990, December",New Earth,DC
5305,Jack Fury,Secret,Good,Blue,Brown,Male,No,1,"1970, March",Earth-616,Marvel
5306,Roger Dayton,Public,Good,Green,Brown,Male,Yes,3,"1988, December",New Earth,DC
5307,Falkon,Secret,Bad,Brown,Black,Male,No,1,"1942, February",Earth-616,Marvel
5308,Rhombus,Public,Bad,Black,White,Male,Yes,2,"1997, November",New Earth,DC
5309,Wilma Calvin,Non-dual,Good,Variable,White,Female,Yes,4,"1972, June",Earth-616,Marvel
5310,Jonathan Davis,Secret,Good,Blue,Brown,Male,Yes,20,"1983, November",New Earth,DC
5311,Julian Grey,Public,Neutral,Brown,Red,Male,No,1,"2006, February",Earth-616,Marvel
5312,Override,Public,Bad,Blue,Brown,Male,Yes,1,"1997, September",New Earth,DC
5313,Arnleif,Public,Bad,Brown,Brown,Female,No,5,"2013, May",Earth-616,Marvel
5314,Slaughter Boy,Secret,Bad,Red,Black,Male,No,4,"1994, July",Earth-616,Marvel
5315,Micah Flint,Secret,Bad,White,Black,Male,Yes,9,"1997, March",New Earth,DC
5316,Clint Randolph,Public,Bad,Blue,Black,Male,Yes,1,"1943, July",Earth-616,Marvel
5317,Ranger,Non-dual,Bad,Black,Brown,Male,Yes,9,"1999, January",Earth-616,Marvel
5318,Jason Stryker,Non-dual,Bad,Black,Black,Male,Yes,3,"1983, January",Earth-616,Marvel
5319,Sheila Ramsey,Secret,Good,Purple,Blond,Female,Yes,1,"1986, April",Earth-616,Marvel
5320,Chair,Public,Bad,White,Brown,Male,Yes,2,"2010, April",New Earth,DC
5321,Legs,Secret,Neutral,Brown,Black,Male,Yes,6,"1988, June",New Earth,DC
5322,Razor Wire,Secret,Bad,Black,Brown,Male,No,3,"2000, April",Earth-616,Marvel
5323,Bartholomew Grice,Non-dual,Good,Brown,Brown,Male,Yes,1,"2004, December",Earth-616,Marvel
5324,Ape,Secret,Bad,Brown,Brown,Male,Yes,1,"1941, December",Earth-616,Marvel
5325,Dawn Golden,Public,Good,Blue,Red,Female,No,4,"2011, January",New Earth,DC
5326,Henry Hellrung,Public,Good,Brown,Brown,Male,Yes,20,"2007, April",Earth-616,Marvel
5327,Kitty Kumbata,Public,Bad,Green,Black,Female,Yes,8,"2004, July",New Earth,DC
5328,Cyrus Vance,Public,Good,Brown,Brown,Male,Yes,1,"1977, November",Earth-616,Marvel
5329,King of Castle Island,Secret,Bad,Brown,Brown,Male,No,1,"1943, March",Earth-616,Marvel
5330,Robert Coleman,Secret,Bad,Grey,Black,Male,Yes,10,"1977, July",New Earth,DC
5331,Bakuto,Public,Bad,Brown,Black,Male,No,3,"2010, April",Earth-616,Marvel
5332,Catherine Cobert,Non-dual,Good,Blue,Black,Female,Yes,68,"1987, December",New Earth,DC
5333,Glomm,Secret,Bad,Red,No,Male,Yes,1,"1992, April",Earth-616,Marvel
5334,Xylon,Public,Good,Black,Black,Male,Yes,19,"2009, July",New Earth,DC
5335,Medea,Secret,Bad,Blue,Black,Female,Yes,17,"1994, October",Earth-616,Marvel
5336,Nautak,Public,Bad,Green,White,Male,Yes,1,"1993, February",Earth-616,Marvel
5337,Edward Leeds,Secret,Neutral,Blue,Brown,Male,No,181,"1964, November",Earth-616,Marvel
5338,Nanya,Secret,Good,Blue,Blond,Female,Yes,4,"1998, November",Earth-616,Marvel
5339,Margaux de Mortain,Secret,Good,Brown,Blond,Female,No,1,"2008, February",New Earth,DC
5340,Green Man,Public,Bad,Red,Bald,Male,No,68,"1983, May",New Earth,DC
5341,Buchanan Mitty,Secret,Bad,Hazel,Brown,Male,No,21,"1986, October",Earth-616,Marvel
5342,Hitpin,Public,Bad,Black,Black,Female,Yes,1,"1983, October",New Earth,DC
5343,Six of Spades II,Secret,Bad,Blue,Black,Female,Yes,1,"2009, September",New Earth,DC
5344,Master Zei,Secret,Bad,Black,Bald,Male,Yes,5,"1997, August",Earth-616,Marvel
5345,Krakoa,Secret,Bad,Green,No,Unknown,No,1,"2010, February",Earth-616,Marvel
5346,K. Russell Abernathy,Public,Bad,Black,Green,Male,Yes,11,"2006, May",New Earth,DC
5347,Cinglet,Public,Bad,Red,White,Unknown,Yes,2,"2005, December",Earth-616,Marvel
5348,Greta Abbott,Public,Bad,Brown,Blond,Female,No,4,"2006, February",Earth-616,Marvel
5349,Yolanda Montez,Secret,Good,Brown,Red,Female,No,64,"1985, March",New Earth,DC
5350,Kevin Gill,Secret,Bad,Brown,Black,Male,Yes,1,"1997, May",Earth-616,Marvel
5351,Geronimo,Public,Neutral,Blue,Black,Male,Yes,2,"1976, June",Earth-616,Marvel
5352,Serpenteen,Secret,Bad,Blue,White,Male,Yes,11,"2000, March",New Earth,DC
5353,Ozzie Tanaka,Secret,Bad,Yellow,Blond,Male,Yes,1,"2008, September",Earth-616,Marvel
5354,Ishiguro,Secret,Good,Green,Brown,Male,Yes,1,"2006, July",Earth-616,Marvel
5355,Ian McMasters,Public,Bad,Black,White,Male,Yes,4,"2004, November",Earth-616,Marvel
5356,Katinka,Non-dual,Bad,Black,White,Female,Yes,1,"1991, November",Earth-616,Marvel
5357,Vakume,Secret,Good,Brown,Black,Male,Yes,16,"1977, September",Earth-616,Marvel
5358,Phelch,Secret,Bad,Brown,Black,Unknown,Yes,1,"1976, March",Earth-616,Marvel
5359,Big Breeda,Secret,Good,Silver,Red,Female,Yes,1,"1991, June",New Earth,DC
5360,Percy Sheldrake,Secret,Good,Brown,Brown,Male,No,13,"1950, December",New Earth,DC
5361,Quill,Secret,Neutral,Brown,No,Male,Yes,13,"1985, July",Earth-616,Marvel
5362,Thomas Eliot,Public,Neutral,Brown,No,Male,No,2,"2006, August",Earth-616,Marvel
5363,Slag,Non-dual,Bad,Green,Black,Male,Yes,1,"2007, June",Earth-616,Marvel
5364,Ruth Durie,Public,Good,Blue,Blond,Female,Yes,1,"2002, July",Earth-616,Marvel
5365,William Cobb III,Public,Good,Green,Brown,Male,No,16,"2007, October",Earth-616,Marvel
5366,Heather Sante,Public,Good,Brown,Brown,Female,Yes,5,"2008, January",Earth-616,Marvel
5367,Ace,Secret,Good,Blue,Bald,Male,Yes,4,"2006, January",Earth-616,Marvel
5368,Lorne Lincoln,Secret,Neutral,Black,Brown,Male,Yes,3,"1985, February",Earth-616,Marvel
5369,Brett Sabre,Public,Good,Blue,Blond,Male,Yes,9,"1970, August",Earth-616,Marvel
5370,Cassandra Arnold,Public,Bad,Blue,Blond,Male,No,9,1992,New Earth,DC
5371,Mrs. Spalding,Secret,Neutral,Brown,Brown,Female,Yes,1,"2010, September",Earth-616,Marvel
5372,Kindra Grey,Public,Neutral,Black,Brown,Female,No,1,"2006, February",Earth-616,Marvel
5373,Robin Hood,Public,Good,Brown,Brown,Male,Yes,28,"1938, January",New Earth,DC
5374,Jebediah of Canaan,Secret,Good,Blue,White,Male,Yes,67,"1987, April",New Earth,DC
5375,Jack Mobley,Secret,Bad,Green,White,Male,Yes,2,1993,New Earth,DC
5376,Julia Cabot,Secret,Good,Brown,Brown,Female,No,6,"2004, March",Earth-616,Marvel
5377,Owen Wallach,Secret,Bad,Brown,Bald,Male,Yes,6,"1974, February",Earth-616,Marvel
5378,Boss Barker,Public,Bad,Green,No,Male,Yes,7,"1969, October",Earth-616,Marvel
5379,Lorelei Travis,Public,Neutral,Green,Pink,Female,Yes,19,"2004, July",Earth-616,Marvel
5380,Esh-uta,Public,Good,White,Bald,Unknown,Yes,1,"1996, February",Earth-616,Marvel
5381,Charlie Carcrash,Secret,Bad,Brown,Green,Male,Yes,2,"1985, May",Earth-616,Marvel
5382,Kaecilius,Secret,Bad,Brown,Brown,Male,Yes,12,"1965, March",Earth-616,Marvel
5383,Bethany Lee,Public,Neutral,Yellow,Black,Female,Yes,9,"1999, April",New Earth,DC
5384,Salty Smith,Public,Good,Green,Blond,Male,Yes,13,"1954, August",Earth-616,Marvel
5385,Duncan Kilgore,Public,Good,Blue,Brown,Male,Yes,4,"2013, April",Earth-616,Marvel
5386,Agatha Harkness,Non-dual,Good,Blue,Red,Female,Yes,8,"1996, November",Earth-616,Marvel
5387,Opal Tanaka,Non-dual,Bad,Blue,Black,Female,Yes,26,"1990, February",Earth-616,Marvel
5388,George Clarendon,Public,Neutral,Black,Red,Male,Yes,1,"1981, April",Earth-616,Marvel
5389,Shaar Q,Public,Good,Green,Bald,Female,Yes,5,"1996, September",New Earth,DC
5390,Frank Halloran,Secret,Neutral,Photocellular,Blond,Male,No,5,"2007, June",New Earth,DC
5391,Sir Raston,Public,Bad,Orange,Black,Male,Yes,5,"1992, October",Earth-616,Marvel
5392,Yuriko Oyama,Secret,Bad,Brown,Black,Female,Yes,99,"1983, August",Earth-616,Marvel
5393,Maxie Murdock,Secret,Bad,Brown,Bald,Male,Yes,1,"1944, September",Earth-616,Marvel
5394,Toltec,Secret,Bad,Brown,Blond,Male,Yes,5,"2009, April",Earth-616,Marvel
5395,Spa-fon and Squa-tront,Non-dual,Good,Brown,Blond,Male,Yes,1,"2006, June",Earth-616,Marvel
5396,Voidian,Public,Bad,Blue,Black,Male,Yes,5,"2009, June",Earth-616,Marvel
5397,Serestus,Secret,Bad,Green,Blond,Male,Yes,1,"2001, August",Earth-616,Marvel
5398,Tucker Stone,Public,Good,Brown,White,Male,Yes,19,"1984, August",New Earth,DC
5399,Lucius Fox,Public,Good,Brown,Black,Male,Yes,133,"1979, January",New Earth,DC
5400,Yod,Public,Neutral,Red,No,Unknown,Yes,6,"1991, February",Earth-616,Marvel
5401,Whitey Mullins,Non-dual,Good,Blue,Blond,Male,Yes,3,"1966, May",Earth-616,Marvel
5402,Stronghold,Secret,Bad,Blue,Black,Male,Yes,3,"2000, January",Earth-616,Marvel
5403,Adam Grant,Public,Neutral,Blue,Blond,Male,No,21,"1987, June",New Earth,DC
5404,Stanley Dee,Non-dual,Good,Blue,White,Male,Yes,1,"1942, August",Earth-616,Marvel
5405,Anne-Marie Baker,Non-dual,Good,Blue,Black,Female,Yes,7,"1988, December",Earth-616,Marvel
5406,Rabbit,Secret,Bad,Red,Grey,Male,Yes,1,"1943, June",Earth-616,Marvel
5407,Adam Wright,Non-dual,Neutral,Blue,Black,Male,Yes,2,"1991, January",Earth-616,Marvel
5408,Spike,Secret,Bad,Brown,Brown,Male,No,24,"2001, August",Earth-616,Marvel
5409,Jacob Weisenthal,Public,Good,Brown,Brown,Male,No,6,"1992, September",Earth-616,Marvel
5410,Sadae Tsumura,Secret,Bad,Blue,Pink,Female,No,4,"1992, September",Earth-616,Marvel
5411,Gargantus,Secret,Bad,Blue,Brown,Male,No,6,"1963, April",Earth-616,Marvel
5412,Martin Allard,Secret,Good,Brown,Brown,Male,Yes,24,"1987, March",New Earth,DC
5413,James Pierce,Secret,Good,Blue,Black,Male,Yes,8,"1994, January",Earth-616,Marvel
5414,Linbythoum,Public,Bad,White,Black,Male,Yes,3,"1974, November",Earth-616,Marvel
5415,James Johnsmeyer,Public,Bad,Brown,Blond,Male,Yes,7,"1996, February",Earth-616,Marvel
5416,Lao-Chung,Public,Good,Brown,White,Male,Yes,1,"1945, June",Earth-616,Marvel
5417,Watchtower,Secret,Bad,White,Bald,Male,Yes,2,"2000, September",Earth-616,Marvel
5418,Michael Baer,Secret,Bad,Brown,Bald,Male,Yes,29,"1986, November",Earth-616,Marvel
5419,Wasabi-No Ginger,Secret,Good,Brown,Black,Male,Yes,8,"2008, November",Earth-616,Marvel
5420,Troy Stewart,Public,Good,Black,Black,Male,Yes,56,"1976, April",Unknown,DC
5421,Saboteur,Secret,Bad,Brown,White,Female,Yes,3,"2008, March",Earth-616,Marvel
5422,Virginia Dix,Secret,Good,Green,Blond,Female,Yes,14,"1989, August",New Earth,DC
5423,"John Jonah Jameson, Sr.",Non-dual,Good,Brown,White,Male,Yes,51,"2009, January",Earth-616,Marvel
5424,Talan,Public,Good,Green,Black,Male,No,2,"1994, February",Earth-616,Marvel
5425,Fist,Public,Bad,Brown,Brown,Male,Yes,2,"1997, March",Earth-616,Marvel
5426,Kuroyama,Non-dual,Bad,Black,Brown,Male,Yes,1,"1998, January",Earth-616,Marvel
5427,Karas,Public,Good,Blue,Red,Male,Yes,8,"1980, February",Earth-616,Marvel
5428,Wrath,Secret,Bad,Blue,Black,Male,No,2,"1984, June",Earth-One,DC
5429,Omar Karindu,Non-dual,Good,Brown,Grey,Male,Yes,2,"1976, December",Earth-616,Marvel
5430,Claudette and Nicole St. Croix,Secret,Good,Brown,Black,Female,Yes,58,"1994, September",Earth-616,Marvel
5431,Lawrence Lance,Public,Bad,Blue,Blond,Male,No,23,"1948, February",New Earth,DC
5432,Uriel Worthington,Secret,Bad,Red,Bald,Male,No,10,"2013, May",Earth-616,Marvel
5433,Six-Gun Kid,Secret,Bad,Blue,Blond,Male,Yes,2,"2005, December",Earth-616,Marvel
5434,Mophir,Public,Bad,Green,Red,Male,No,4,"1963, July",New Earth,DC
5435,Myra Tangier,Secret,Bad,Brown,Black,Female,Yes,2,"1953, May",Earth-616,Marvel
5436,Undertow,Secret,Bad,Red,Green,Male,Yes,2,"1989, October",Earth-616,Marvel
5437,Bludgeon,Secret,Bad,Brown,Bald,Male,Yes,4,"1987, April",Earth-616,Marvel
5438,Karl Sofen,Secret,Neutral,Green,Bald,Male,No,1,"1999, April",Earth-616,Marvel
5439,Baron,Secret,Bad,Black,Blond,Male,No,1,"1949, June",Earth-616,Marvel
5440,Brokar,Public,Neutral,Red,Black,Male,Yes,1,"1977, February",Earth-616,Marvel
5441,Arthur Allan Smith,Non-dual,Good,Green,Red,Male,Yes,1,"1986, January",Earth-616,Marvel
5442,Skurge,Secret,Bad,Blue,Black,Male,No,88,"1964, April",Earth-616,Marvel
5443,Ignition,Secret,Bad,Black,Blond,Male,Yes,19,"2000, September",New Earth,DC
5444,Silas Warden,Secret,Bad,Blue,Black,Male,Yes,2,"1976, August",Earth-616,Marvel
5445,Atalanta,Secret,Good,Brown,Black,Female,Yes,2,"2008, July",Earth-616,Marvel
5446,Koyami Sazaki,Public,Bad,Green,White,Male,Yes,6,"2002, July",Earth-616,Marvel
5447,Proteus,Public,Bad,Blue,Black,Male,Yes,3,"1984, September",Earth-616,Marvel
5448,Blackball,Non-dual,Bad,Yellow,Black,Male,Yes,1,"1992, September",Earth-616,Marvel
5449,Luis Dominquez,Public,Good,Blue,Blond,Male,No,1,"1975, June",Earth-616,Marvel
5450,Betty Swanson,Secret,Bad,Blue,Blond,Female,Yes,15,"2009, September",Earth-616,Marvel
5451,Mirmir,Secret,Good,Brown,White,Male,Yes,1,"1964, April",Earth-616,Marvel
5452,Brian Muldoon,Secret,Bad,Blue,Brown,Male,Yes,13,"1971, July",Earth-616,Marvel
5453,Benjamin Grimm,Public,Good,Blue,No,Male,Yes,2255,"1961, November",Earth-616,Marvel
5454,Henry Heywood III,Public,Good,Blue,Red,Male,No,55,"1984, October",New Earth,DC
5455,Leonard Kryzewski,Public,Bad,Blue,Blond,Male,Yes,2,"1991, November",Earth-616,Marvel
5456,Lucian Crawley,Secret,Good,Brown,Brown,Male,Yes,8,"1969, March",New Earth,DC
5457,Redshirt,Secret,Bad,Blue,Blond,Male,No,2,"2011, January",Earth-616,Marvel
5458,Black Baron,Public,Bad,Black,Black,Male,Yes,1,"1947, May",Earth-616,Marvel
5459,Hazram Chaliz,Public,Neutral,Black,Black,Male,Yes,3,"1998, May",Earth-616,Marvel
5460,Doctor Yen,Public,Bad,Black,Black,Male,Yes,7,"1966, June",Earth-616,Marvel
5461,Gold,Secret,Good,Photocellular,Bald,Male,Yes,147,"1962, April",New Earth,DC
5462,Cole Wittman,Public,Neutral,Violet,Black,Female,Yes,4,"2004, August",Earth-616,Marvel
5463,Atrocitus,Secret,Neutral,Yellow,Black,Male,Yes,55,"2008, January",New Earth,DC
5464,Accolon,Non-dual,Neutral,Red,No,Unknown,Yes,1,"1981, September",Earth-616,Marvel
5465,Gan-M,Public,Good,Brown,Brown,Male,Yes,1,"1987, December",New Earth,DC
5466,Cybele Sahin,Secret,Bad,Brown,Black,Female,Yes,3,"2010, April",New Earth,DC
5467,Jim Sharp,Public,Bad,Green,Black,Male,Yes,4,"1991, August",Earth-616,Marvel
5468,Rubber Maid,Secret,Bad,Brown,Black,Female,Yes,4,"2004, August",New Earth,DC
5469,Trevor Hawkins,Public,Good,Blue,Blond,Male,Yes,26,"2012, December",Earth-616,Marvel
5470,Bob,Secret,Bad,Blue,Bald,Male,Yes,8,"1988, December",Earth-616,Marvel
5471,Videmus,Public,Good,No,Bald,Male,Yes,5,"2006, March",Earth-616,Marvel
5472,Catherine Wilder,Public,Bad,Brown,Black,Female,No,27,"2003, July",Earth-616,Marvel
5473,"Alan von Neumann, Jr.",Public,Bad,Blue,Blond,Male,Yes,4,"2009, August",New Earth,DC
5474,Ulagg,Public,Good,Black,Brown,Male,Yes,3,"1989, June",Earth-616,Marvel
5475,Bridgit Shane,Public,Good,Green,Red,Female,Yes,1,"1996, January",Earth-616,Marvel
5476,Zartra,Public,Good,Blue,Auburn,Female,Yes,4,"1973, October",Earth-616,Marvel
5477,Xi Shan-Hao,Secret,Bad,White,Bald,Male,Yes,3,"1981, March",Earth-616,Marvel
5478,Ramon Solomano,Public,Bad,Blue,White,Male,No,8,"1941, December",New Earth,DC
5479,Uatu,Public,Bad,Blue,Brown,Male,No,5,"1997, May",Earth-616,Marvel
5480,Lance Temple,Secret,Good,Blue,Blond,Male,No,60,"1954, September",Earth-616,Marvel
5481,Schuyler Belial,Secret,Bad,Green,Grey,Male,Yes,2,"1983, March",Earth-616,Marvel
5482,"Isis, Goddess of Fertility",Public,Good,Brown,Brown,Female,Yes,12,"2002, January",New Earth,DC
5483,Red Hawk,Public,Good,Blue,Black,Male,Yes,17,"1951, January",Earth-616,Marvel
5484,Josef Denisovich,Secret,Bad,Green,Blond,Male,Yes,4,"1987, January",New Earth,DC
5485,Atalanta,Secret,Good,Blue,Black,Female,Yes,33,"1991, March",Earth-616,Marvel
5486,Joseph MacTaggert,Public,Bad,Grey,Grey,Male,No,7,"1979, November",Earth-616,Marvel
5487,Kevin Leonardo,Secret,Bad,Yellow,No,Male,Yes,4,"1992, December",Earth-616,Marvel
5488,Immortal Man in Darkness III,Secret,Good,Brown,Black,Male,No,1,"2010, April",New Earth,DC
5489,Arthur Chekhov,Non-dual,Good,Brown,Bald,Male,Yes,2,"1982, December",Earth-616,Marvel
5490,Walther Theodoric,Public,Bad,Blue,Red,Male,Yes,7,"1980, August",Earth-616,Marvel
5491,Masque,Secret,Bad,Red,Bald,Male,Yes,52,"1983, May",Earth-616,Marvel
5492,Bruce Gordon,Public,Good,Green,Brown,Male,Yes,105,"1963, July",New Earth,DC
5493,Schiller,Public,Good,Brown,Brown,Male,Yes,1,"1965, November",Earth-616,Marvel
5494,Crimson Ash,Public,Bad,Blue,Red,Female,Yes,1,"1984, July",Earth-616,Marvel
5495,Willard Thomas,Secret,Bad,Green,White,Male,Yes,1,"1940, June",Earth-616,Marvel
5496,Byron Calley,Secret,Bad,Blue,White,Male,Yes,19,"1977, November",Earth-616,Marvel
5497,Deadly Force,Secret,Bad,Blue,Brown,Male,Yes,2,"2009, October",New Earth,DC
5498,Dominikos Petrakis,Secret,Neutral,Brown,Brown,Male,No,108,"1981, January",Earth-616,Marvel
5499,Gavin King,Secret,Good,Brown,Black,Male,No,25,"2001, October",New Earth,DC
5500,Donna Kiel,Public,Neutral,Green,Blond,Female,Yes,10,"2011, August",Earth-616,Marvel
5501,Anomaly,Secret,Bad,Variable,No,Unknown,Yes,3,"1991, March",Earth-616,Marvel
5502,Thomas Lovejoy,Secret,Bad,Blue,Blond,Male,Yes,5,"1977, March",Earth-616,Marvel
5503,Antaeus,Secret,Bad,White,Blond,Male,No,4,"1984, October",New Earth,DC
5504,Ted Sparks,Secret,Good,Blue,Blond,Male,Yes,1,"1948, July",Earth-616,Marvel
5505,Austin Bowie,Public,Good,Blue,Red,Male,Yes,8,"1989, August",New Earth,DC
5506,Fiorello La Guardia,Non-dual,Neutral,Blue,Black,Male,Yes,2,"1939, October",Earth-616,Marvel
5507,Rangoo,Public,Good,Yellow,Blond,Male,Yes,1,"1940, September",Earth-616,Marvel
5508,Spike II,Secret,Bad,Brown,Black,Male,Yes,2,"2010, October",New Earth,DC
5509,Karl Schwab,Non-dual,Bad,Auburn,Bald,Male,No,1,"1941, February",Earth-616,Marvel
5510,Robert Martin,Secret,Good,Brown,Brown,Male,No,1,"2011, March",Earth-616,Marvel
5511,David Breyer,Public,Bad,Brown,Black,Male,Yes,6,"1996, January",Earth-616,Marvel
5512,Lone-Eye Lincoln,Non-dual,Neutral,Brown,No,Male,Yes,2,"2008, August",New Earth,DC
5513,Irwin Hayes,Secret,Bad,Brown,Grey,Male,Yes,1,"1946, March",Earth-616,Marvel
5514,Vitoria,Secret,Bad,Brown,Brown,Female,Yes,4,"2009, December",New Earth,DC
5515,Big Roy,Public,Bad,Brown,Black,Male,Yes,1,"2011, August",Earth-616,Marvel
5516,Babob,Non-dual,Good,White,Blond,Male,Yes,2,"1990, May",Earth-616,Marvel
5517,Batman Jones,Non-dual,Good,Brown,Black,Male,Yes,1,"2009, July",New Earth,DC
5518,Baymax,Secret,Good,Red,No,Male,Yes,17,"1998, September",Earth-616,Marvel
5519,Devem,Public,Good,Blue,Brown,Male,Yes,3,"2006, May",New Earth,DC
5520,Teslav Tarasova,Secret,Neutral,Blue,Blond,Female,Yes,5,"2013, March",Earth-616,Marvel
5521,Alan Wayne,Public,Good,Blue,Black,Male,No,17,"1997, October",New Earth,DC
5522,Mindwave,Secret,Neutral,Grey,White,Male,No,5,"2007, October",Earth-616,Marvel
5523,Gaius,Non-dual,Good,Red,Black,Male,Yes,9,"1993, August",New Earth,DC
